start,end,text_name,new_match,original_match,translation,original,len_translation,len_original,len_diff
0,0,alms_giving.txt,(0-0),,"It will be well for that earl who keeps inside himself, the right-thinking man, a roomy heart — so that the most of honorable intentions will be the greatest glory for the world and for our Lord. Even so this man extinguishes the flame with the welling waters, so that he cannot for long be injured in the cities with the burning brightness so he with almsdeeds shoves away entirely the wounds of sinfulness, healing the soul."," Wel bið þam eorle þe him on innan hafað, reþehygdig wer, rume heortan; þæt him biþ for worulde weorðmynda mæst, ond for ussum dryhtne doma selast. Efne swa he mid wætre þone weallendan leg adwæsce, þæt he leng ne mæg blac byrnende burgum sceððan, swa he mid ælmessan ealle toscufeð synna wunde, sawla lacnað. ",77,54,23
628,631,andreas.txt,(628-631),(628-31),"And so Andrew gave answer: “What are you asking me, most beloved lord, in elaborate words, when you perceive the truth of each word by the skill of the wise?”","Him þa Andreas ondsware agef: ""Hwæt frinest ðu me, frea leofesta, wordum wrætlicum, ond þe wyrda gehwære þurh snyttra cræft soð oncnawest?""",30,22,8
977,980,andreas.txt,(977-980),(977-80),"Then the holy one departed from him, seeking the heavens, the King of All Kings, that pure home, with humility upwards, where there is mercy belonging to every man, to those who know how to find it.","Gewat him þa se halga heofonas secan, eallra cyninga cining, þone clænan ham, eaðmedum upp, þær is ar gelang fira gehwylcum, þam þe hie findan cann.",37,26,11
981,996a,andreas.txt,(981-996a),(981-96a),"Then Andrew, soul-patient and mindful, a warrior hard for battle, was bolstered in his courage— he went quickly into the city, a single-minded contestant. Powerful and stout of mind and true to his creator, he stepped down the street, the path guiding him— so no man could recognize him nor the sinful see him. The Guardian of Victories had prudently concealed the beloved folk-prince from sight with his hand inside the city. When noble Andrew had pressed inwards, Christ’s champion, near to the prison, he saw a heap of heathens together, herdsmen standing before the grated door, seven at once. Death seized them suddenly, they fell ingloriously— the fatal rush grasping the sword-bloody warriors.","ða wæs gemyndig modgeþyldig, beorn beaduwe heard, eode in burh hraðe, anræd oretta, elne gefyrðred, maga mode rof, meotude getreowe, stop on stræte, (stig wisode), swa him nænig gumena ongitan ne mihte, synfulra geseon. Hæfde sigora weard on þam wangstede wære betolden leofne leodfruman mid lofe sinum. Hæfde þa se æðeling in geþrungen, Cristes cempa, carcerne neh. Geseh he hæðenra hloð ætgædere, fore hlindura hyrdas standan, seofone ætsomne. Ealle swylt fornam, druron domlease. Deaðræs forfeng hæleð heorodreorige.",114,77,37
996b,1003,andreas.txt,(996b-1003),(996b-1003),"Then the holy one prayed to the merciful father from his inmost thoughts, praising the Heaven-King’s Majesty on high, God’s sovereignty. The prison door buckled at once through the hand-grip of the Holy Ghost, and there he went in, mindful of courage, the battle-brave man. The heathens slept, drunk in blood, reddening the death-hall.","ða se halga gebæd bilwytne fæder, breostgehygdum herede on hehðo heofoncyninges þrym, godes dryhtendom. Duru sona onarn þurh handhrine haliges gastes, ond þær in eode, elnes gemyndig, hæle hildedeor. Hæðene swæfon, dreore druncne, deaðwang rudon.",54,35,19
1004,1008,andreas.txt,(1004-1008),(1004-1008),"He saw Matthew in the murder-coffer, the stout-minded hero under the shadow-lock telling his praise unto the Lord, glory for the Prince of Angels. He sat there alone, miserable for his cares in that sorrowful house.","Geseh he Matheus in þam morðorcofan, hæleð higerofne under heolstorlocan, secgan dryhtne lof, domweorðinga engla ðeodne. He ðær ana sæt geohðum geomor in þam gnornhofe.",36,25,11
1009,1024,andreas.txt,(1009-1024),(1009-24a),"Then Matthew saw his dear companion under the sky— holy man saw holy man—joyful hope was restored. Then he arose to face him and thanked God that they had ever been allowed to see each other unscathed under the sun. Peace was mutual between both those brothers, bliss renewed. Each covered the other with arms, they kissed each other and embraced. Both were beloved by Christ at heart. Light shone around them, holy and heaven-bright. Then his breast was welling with delights, when Andrew, wordfully began to greet his noble and god-fearing companion in the barred-coffer with speech, and spoke to him about the battle to come, fighting of hostile men: “Now there will be a yearning in this folk, heroes hither on…”","Geseh þa under swegle swæsne geferan, halig haligne. Hyht wæs geniwad. Aras þa togenes, gode þancade þæs ðe hie onsunde æfre moston geseon under sunnan. Syb wæs gemæne bam þam gebroðrum, blis edniwe. æghwæðer oðerne earme beþehte, cyston hie ond clypton. Criste wæron begen leofe on mode. Hie leoht ymbscan halig ond heofontorht. Hreðor innan wæs wynnum awelled. þa worde ongan ærest Andreas æðelne geferan on clustorcleofan mid cwide sinum gretan godfyrhtne, sæde him guðgeðingu, feohtan fara monna: ""Nu is þis folc on luste, hæleð hyder on",123,87,36
1025,1043,andreas.txt,(1025-1043),(1025-43),"…deed to seek out home  After these words, the servants of glory, both brethren, kneeled to pray, sending their prayers before the Child of God. Thus the holy man in the harm-closure hailed his God and asked his Savior for succor and assistance— before their flesh perished before the battle-power of the heathens—and then led the prisoners from their limb-fetters, out of the fastness into the Lord’s peace, one hundred and forty-two men all told by count, delivered from the malice— he left none there fixed in bonds under the city’s enclosure— and furthermore, he freed the frightened women there, one less than fifty, as an increase of his host. They were glad for the journey, quickly departed— not one waited for long inside the sorrow-house, anticipating the battle.","gewyrht eardes neosan."" æfter þyssum wordum wuldres þegnas, begen þa gebroðor, to gebede hyldon, sendon hira bene fore bearn godes. Swylce se halga in þam hearmlocan his god grette ond him geoce bæd, hælend helpe, ær þan hra crunge fore hæðenra hildeþrymme, ond þa gelædde of leoðobendum fram þam fæstenne on frið dryhtnes tu ond hundteontig geteled rime, swylce feowertig, generede fram niðe, (þær he nænigne forlet under burglocan bennum fæstne), ond þær wifa þa gyt, weorodes to eacan, anes wana þe fiftig forhte gefreoðode. Fægen wæron siðes, lungre leordan, nalas leng bidon in þam gnornhofe guðgeþingo.",129,97,32
1044,1057,andreas.txt,(1044-1057),(1044-57),"Then Matthew departed, leading the many into the care of God, as sainted Andrew had ordered him. He had covered the host on their desired journey, with clouds lest the shield-haters should come shooting with a flurry of arrows, their old foes. Then the headstrong men held council there between them, faith-friends, before turning their two ways. Either of those earls confirmed the hope for the heavenly-realm in the other, and wordfully warded away the torments of hell. So these war-farers, heroes stout-minded, proven champions, honored the King with holy voices, the Wielder of the World’s Way, whose glory at the End of Time will never be grasped by men.","Gewat þa Matheus menigo lædan on gehyld godes, swa him se halga bebead. Weorod on wilsið wolcnum beþehte, þe læs him scyldhatan scyððan comon mid earhfare, ealdgeniðlan. þær þa modigan mid him mæðel gehedan, treowgeþoftan, ær hie on tu hweorfan. ægðer þara eorla oðrum trymede heofonrices hyht, helle witu wordum werede. Swa ða wigend mid him, hæleð higerofe, halgum stefnum cempan coste cyning weorðadon, wyrda waldend, þæs wuldres ne bið æfre mid eldum ende befangen.",110,75,35
1058,1071,andreas.txt,(1058-1071),(1058-71),"Then Andrew turned back into the city, to a place where he had learned would be a moot of the fierce, folk-muster of hostile men, going glad-minded until he encountered by the border-road a brazen column standing near the street. Then he sat himself beside its base—he had pure love, an eternal high-thought for the bliss of angels. Beneath the city walls, he awaited there whatever war-deeds were his lot. Then crowds gathered from afar, the first-spears of the people. To the pens the faithless army had come with their weapons, those heathen battle-men, to their captives who had previously suffered under prison-shade.","Gewat him þa Andreas inn on ceastre glædmod gangan, to þæs ðe he gramra gemot, fara folcmægen, gefrægen hæfde, oððæt he gemette be mearcpaðe standan stræte neah stapul ærenne. Gesæt him þa be healfe, hæfde hluttre lufan, ece upgemynd engla blisse; þanon basnode under burhlocan hwæt him guðweorca gifeðe wurde. þa gesamnedon side herigeas, folces frumgaras. To þam fæstenne wærleasra werod wæpnum comon, hæðne hildfrecan, to þæs þa hæftas ær under hlinscuwan hearm þrowedon.",103,74,29
960,976,andreas.txt,(960-976),(960-76),"Let it remain you in your mind how it became renowned to many men throughout many lands, how malevolent men shamed me while I was bound with wounds. They afflicted me with words, smote me and struck me—the sinning could not reveal the truth by injurious speech. Then I was stretched over the gallows, the rood reared up among the Jews, where a certain man let out blood-sweat from my side, gore onto the ground. I endured many miseries upon the earth. For this, I wanted you to become an example with a blithe heart, shown to these strangers. There are many in this famous city whom you will turn toward heaven-light through my name, although they have done many murders in days gone by.”","læt ðe on gemyndum hu þæt manegum wearð fira gefrege geond feala landa, þæt me bysmredon bennum fæstne weras wansælige. Wordum tyrgdon, slogon ond swungon, synnige ne mihton þurh sarcwide soð gecyðan. þa ic mid Iudeum gealgan þehte, (rod wæs aræred), þær rinca sum of minre sidan swat ut forlet, dreor to foldan. Ic adreah feala yrmþa ofer eorðan. Wolde ic eow on ðon þurh bliðne hige bysne onstellan, swa on ellþeode ywed wyrðeð. Manige syndon in þysse mæran byrig þara þe ðu gehweorfest to heofonleohte þurh minne naman, þeah hie morðres feala in fyrndagum gefremed habban.""",125,97,28
1072,1092,andreas.txt,(1072-1092),(1072-92),"The evil-thinkers expected and desired that they would obtain food from the strangers ordained as their meal. That thought sailed away after the angry ash-bearers, with their band found the prison door wide open, the hammered work unclosed and the herdsmen all dead. Then they soon turned, unhappy, deprived of their desire, to bear the grievous news. They said unto their people that they did not discover any of the far-comers, the foreign-speakers remaining there, that were alive in the prison. Instead the guards lay there gory, lifeless in the dust, deprived of breath, doomed flesh-houses. Then many of the people’s leaders grew fearful from the horrible news—abjected, sorrow-minded, expecting famine, that pallid dinner-guest. They knew no better counsel than to devour the departed guards as deathly life-bread. In a single moment, all of the door-watchmen were stirred from their deathbeds by the solemn assembly.","Wendan ond woldon wiðerhycgende þæt hie on elþeodigum æt geworhton, weotude wiste. Him seo wen gelah, syððan mid corðre carcernes duru eorre æscberend opene fundon, onhliden hamera geweorc, hyrdas deade. Hie þa unhyðige eft gecyrdon, luste belorene, laðspell beran, sægdon þam folce þæt ðær feorrcundra, ellreordigra, ænigne to lafe in carcerne cwicne ne gemetton, ah þær heorodreorige hyrdas lagan, gæsne on greote, gaste berofene, fægra flæschaman. þa wearð forht manig for þam færspelle folces ræswa, hean, hygegeomor, hungres on wenum, blates beodgastes. Nyston beteran ræd, þonne hie þa belidenan him to lifnere deade gefeormedon. Duruþegnum wearð in ane tid eallum ætsomne þurh heard gelac hildbedd styred.",145,106,39
1108,1116a,andreas.txt,(1108-1116a),(1108-1116a),"Then the courageous heart called out with sorrowful voice, saying he would give up his own son into their power— his young heir—in exchange for clemency to his own life. Then they accepted this gift in order to serve him up. The people were very desirous for food with a sorrowful mind— there was no joy in treasure, no hope in their hoards. They were severely oppressed by hunger, that great despoiler tyrannized them so cruelly.","Cleopode þa collenferhð cearegan reorde, cwæð he his sylfes sunu syllan wolde on æhtgeweald, eaforan geongne, lifes to lisse. Hie ða lac hraðe þegon to þance. þeod wæs oflysted, metes modgeomre, næs him to maðme wynn, hyht to hordgestreonum. Hungre wæron þearle geþreatod, swa se ðeodsceaða reow ricsode.",76,48,28
1116b,1128,andreas.txt,(1116b-1128),(1116b-28),"Then there was many a warrior, a war-hardy man, that burned in his breast for that young body. The miserable sign of that battle-play was widely known throughout the city, announced to many men who sought for the child’s violent death, the life of the beloved one, and took a portion for the multitude, the men and the boys. The miserable boy could find no mercy, no peace among his people, who wished his life and spirit be given to them. The wretches had sought for strife. The edge of sword, sharp and beaten-hard, stained by fire-marks, from the hand of harmers, must demand his life.","þa wæs rinc manig, guðfrec guma, ymb þæs geongan feorh breostum onbryrded. To þam beadulace wæs þæt weatacen wide gefrege, geond þa burh bodad beorne manegum, þæt hie þæs cnihtes cwealm corðre gesohton, duguðe ond eogoðe, dæl onfengon lifes to leofne. Hie lungre to þæs, hæðene herigweardas, here samnodan ceastrewarena. Cyrm upp astah ða se geonga ongann geomran stefne, gehæfted for herige, hearmleoð galan, freonda feasceaft, friðes wilnian.",106,68,38
